zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
953,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
954,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
955,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
956,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
957,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
958,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
959,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
960,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
961,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
962,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
963,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
965,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
966,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
968,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
969,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
970,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
971,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
975,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
976,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
977,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
978,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
979,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
981,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
982,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
1001,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1002,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
